cwe_id,cwe_example_1,cwe_example_2,cwe_example_3,cwe_example_4,cwe_example_5,cwe_example_6,cwe_example_7
CWE-119,"void host_lookup(char *user_supplied_addr) {
  struct hostent *hp;
  in_addr_t *addr;
 - char hostname[64];
 + char hostname[256]; // Increase buffer size to accommodate larger hostnames
  in_addr_t inet_addr(const char *cp);
 
  /* routine that ensures user_supplied_addr is in the right format for conversion */
 
  validate_addr_form(user_supplied_addr);
  addr = inet_addr(user_supplied_addr);
  hp = gethostbyaddr(addr, sizeof(struct in_addr), AF_INET);
 
 - strcpy(hostname, hp->h_name);
 + strncpy(hostname, hp->h_name, sizeof(hostname) - 1); // Use strncpy with buffer size - 1
 
 + // Ensure null-termination of the hostname
 + hostname[sizeof(hostname) - 1] = '\0';
 }","char *copy_input(const char *user_supplied_string) {
 - int i, dst_index;
 - char *dst_buf = (char*)malloc(4 * sizeof(char) * MAX_SIZE);
 + size_t input_length = strlen(user_supplied_string);
 + size_t encoded_length = 0;
 + char *dst_buf;
 
 - if (MAX_SIZE <= strlen(user_supplied_string)) {
 + // Determine the length of the encoded string
 + for (size_t i = 0; i < input_length; i++) {
 + if ('&' == user_supplied_string[i]) {
 + encoded_length += 5; // Ampersand is expanded to ""&amp;""
 + } else if ('<' == user_supplied_string[i]) {
 + encoded_length += 4; // Less than symbol is expanded to ""&lt;""
 + } else {
 + encoded_length += 1; // Other characters remain as-is
 + }
 + }
 
 + // Validate the length of the encoded string
 + if (encoded_length >= (4 * MAX_SIZE)) {
  die(""Encoded string too long, aborting!"");
  }
 
 + dst_buf = (char *)malloc((encoded_length + 1) * sizeof(char)); // Allocate memory for the encoded string
 
 - dst_index = 0;
 - for (int i = 0; i < strlen(user_supplied_string); i++) {
 + size_t dst_index = 0;
 + for (size_t i = 0; i < input_length; i++) {
  if ('&' == user_supplied_string[i]) {
  if (dst_index + 5 > encoded_length) {
  die(""Encoded string buffer overflow, aborting!"");
  }
  strcpy(dst_buf + dst_index, ""&amp;"");
  dst_index += 5;
  } else if ('<' == user_supplied_string[i]) {
  if (dst_index + 4 > encoded_length) {
  die(""Encoded string buffer overflow, aborting!"");
  }
  strcpy(dst_buf + dst_index, ""&lt;"");
  dst_index += 4;
  } else {
  dst_buf[dst_index++] = user_supplied_string[i];
  }
  }
 
  dst_buf[dst_index] = '\0'; // Null-terminate the encoded string
  return dst_buf;
 }","int main(int argc, char **argv) {
  char *items[] = {""boat"", ""car"", ""truck"", ""train""};
  int num_items = sizeof(items) / sizeof(items[0]);
  int index = GetUntrustedOffset();
 
 + if (index >= 1 && index <= num_items) {
  printf(""You selected %s\n"", items[index - 1]);
 + } else {
 + printf(""Invalid offset specified\n"");
 + }
 
  return 0;
 }","int getValueFromArray(int *array, int len, int index) {
  int value;
 
 - // Check that the array index is less than the maximum length of the array
 - if (index < len) {
 + // Check that the array index is within the valid range
 + if (index >= 0 && index < len) {
  // Get the value at the specified index of the array
  value = array[index];
  }
  // If array index is invalid, output an error message
  // and return a value indicating an error
  else {
 - printf(""Value is: %d\n"", array[index]);
 + if (index < 0) {
 + printf(""Invalid array index: Negative value\n"");
 + } else {
 + printf(""Invalid array index: Out of range\n"");
 + }
  value = -1;
  }
 
  return value;
 }",,,
CWE-125,"int getValueFromArray(int *array, int len, int index) {
  int value;
 
 - // Check that the array index is less than the maximum length of the array
 - if (index < len) {
 + // Check that the array index is within the valid range
 + if (index >= 0 && index < len) {
  // Get the value at the specified index of the array
  value = array[index];
  }
  // If array index is invalid, output an error message
  // and return a value indicating an error
  else {
 - printf(""Value is: %d\n"", array[index]);
 + if (index < 0) {
 + printf(""Invalid array index: Negative value\n"");
 + } else {
 + printf(""Invalid array index: Out of range\n"");
 + }
  value = -1;
  }
 
  return value;
 }",,,,,,
CWE-20,,,,,,,
CWE-476,"void host_lookup(char *user_supplied_addr) {
  struct hostent *hp;
  in_addr_t *addr;
  char hostname[64];
  in_addr_t inet_addr(const char *cp);
 
  /* Routine that ensures user_supplied_addr is in the right format for conversion */
  validate_addr_form(user_supplied_addr);
  addr = inet_addr(user_supplied_addr);
  hp = gethostbyaddr(addr, sizeof(struct in_addr), AF_INET);
 
 + if (hp == NULL) {
 + die(""Failed to resolve hostname: Die evil hacker!\n"");
 + } else {
  strcpy(hostname, hp->h_name);
 + }
 }",,,,,,
CWE-787,"int returnChunkSize(void *) {
 
 /* if chunk info is valid, return the size of usable memory,
 * else, return 0 to indicate an error
 */
 ...
 }
 int main() {
 ...
 - memcpy(destBuf, srcBuf, (returnChunkSize(destBuf)-1));
 + int size = returnChunkSize(destBuf);
 + if (size >= 1) {
 + memcpy(destBuf, srcBuf, size-1);
 + }
 ...
 }","void host_lookup(char *user_supplied_addr){
  struct hostent *hp;
  in_addr_t *addr;
  char hostname[256]; // Increase buffer size to accommodate larger hostnames
  in_addr_t inet_addr(const char *cp);
 
  /*routine that ensures user_supplied_addr is in the right format for conversion */
  validate_addr_form(user_supplied_addr);
  addr = inet_addr(user_supplied_addr);
  hp = gethostbyaddr(addr, sizeof(struct in_addr), AF_INET);
 
 - strcpy(hostname, hp->h_name);
 + strncpy(hostname, hp->h_name, sizeof(hostname) - 1);
 + hostname[sizeof(hostname) - 1] = '\0';
 }","char *copy_input(char *user_supplied_string) {
  int i, dst_index;
 - char *dst_buf = (char *)malloc(4 * sizeof(char) * MAX_SIZE);
 + char *dst_buf = (char *)malloc((5 * strlen(user_supplied_string) + 1) * sizeof(char));
  if (MAX_SIZE <= strlen(user_supplied_string)) {
  die(""user string too long, die evil hacker!"");
  }
  dst_index = 0;
  for (i = 0; i < strlen(user_supplied_string); i++) {
  if ('&' == user_supplied_string[i]) {
 + if (dst_index + 5 >= (5 * strlen(user_supplied_string) + 1)) {
 + die(""destination buffer too small, abort encoding!"");
 + }
  dst_buf[dst_index++] = '&';
  dst_buf[dst_index++] = 'a';
  dst_buf[dst_index++] = 'm';
  dst_buf[dst_index++] = 'p';
  dst_buf[dst_index++] = ';';
  } else if ('<' == user_supplied_string[i]) {
 + if (dst_index + 4 >= (5 * strlen(user_supplied_string) + 1)) {
 + die(""destination buffer too small, abort encoding!"");
 + }
  dst_buf[dst_index++] = '&';
  dst_buf[dst_index++] = 'l';
  dst_buf[dst_index++] = 't';
  dst_buf[dst_index++] = ';';
  } else {
 + if (dst_index + 1 >= (5 * strlen(user_supplied_string) + 1)) {
 + die(""destination buffer too small, abort encoding!"");
 + }
  dst_buf[dst_index++] = user_supplied_string[i];
  }
  }
 + dst_buf[dst_index] = '\0';
  return dst_buf;
 }","char *trimTrailingWhitespace(char *strMessage, int length) {
 - char *retMessage;
 - char *message = malloc(sizeof(char) * (length + 1));
 + char *retMessage = malloc(sizeof(char) * (length + 1));
 
  // copy input string to a temporary string
 - char message[length + 1];
  int index;
  for (index = 0; index < length; index++) {
  message[index] = strMessage[index];
  }
  message[index] = '\0';
 
  // trim trailing whitespace
  int len = index - 1;
  while (len >= 0 && isspace(message[len])) {
  message[len] = '\0';
  len--;
  }
 
  // return string without trailing whitespace
  retMessage = malloc(sizeof(char) * (len + 2));
  strncpy(retMessage, message, len + 1);
  retMessage[len + 1] = '\0';
  return retMessage;
 }","int main() {
  ...
 - strncpy(destBuf, &srcBuf[find(srcBuf, ch)], 1024);
 + size_t index = find(srcBuf, ch);
 + if (index >= 0 && index < strlen(srcBuf)) {
 + strncpy(destBuf, &srcBuf[index], 1024);
 + } else {
 + // Handle error or take appropriate action
 + // e.g., set destBuf to a default value
 + strncpy(destBuf, DEFAULT_VALUE, 1024);
 + }
  ...
 }",,
CWE-200,"try {
  openDbConnection();
 }
 //print generic exception message
 catch (Exception $e) {
 - echo 'Caught exception: ', $e->getMessage(), '\n';
 - echo 'Check credentials in config file at: ', $Mysql_config_location, '\n';
 + echo 'Caught exception: An error occurred while connecting to the database.', '\n';
 }",,,,,,
CWE-190,"img_t table_ptr; /*struct containing img data, 10kB each*/
 int num_imgs;
 ...
 num_imgs = get_num_imgs();
 
 // Check for potential integer overflow before allocating memory
 + if (num_imgs <= 0 || SIZE_MAX / sizeof(img_t) < num_imgs) {
 + ExitError(""Invalid number of images requested!"");
 + }
 
 table_ptr = (img_t*)malloc(sizeof(img_t)*num_imgs);
 ...","nresp = packet_get_int();
 if (nresp > 0) {
 - response = xmalloc(nresp * sizeof(char*));
 + if (nresp > SIZE_MAX / sizeof(char*)) {
 + ExitError(""Integer overflow occurred!"");
 + }
 + response = xmalloc(nresp * sizeof(char*));
  for (i = 0; i < nresp; i++) response[i] = packet_get_string(NULL);
 }","short int bytesRec = 0;
 char buf[SOMEBIGNUM];
 
 while (bytesRec < MAXGET) {
 - bytesRec += getFromInput(buf + bytesRec);
 + if (bytesRec > MAXGET - getFromInput(buf + bytesRec)) {
 + ExitError(""Integer overflow occurred!"");
 + }
 + bytesRec += getFromInput(buf + bytesRec);
 }","#define JAN 1
 #define FEB 2
 #define MAR 3
 
 - short getMonthlySales(int month) {...}
 + int getMonthlySales(int month) {...}
 
 - float calculateRevenueForQuarter(short quarterSold) {...}
 + float calculateRevenueForQuarter(int quarterSold) {...}
 
 int determineFirstQuarterRevenue() {
 
  // Variable for sales revenue for the quarter
  float quarterRevenue = 0.0f;
 
 - short JanSold = getMonthlySales(JAN); /* Get sales in January */
 - short FebSold = getMonthlySales(FEB); /* Get sales in February */
 - short MarSold = getMonthlySales(MAR); /* Get sales in March */
 + int JanSold = getMonthlySales(JAN); /* Get sales in January */
 + int FebSold = getMonthlySales(FEB); /* Get sales in February */
 + int MarSold = getMonthlySales(MAR); /* Get sales in March */
 
  // Calculate quarterly total
 - short quarterSold = JanSold + FebSold + MarSold;
 + int quarterSold = JanSold + FebSold + MarSold;
 
  // Calculate the total revenue for the quarter
  quarterRevenue = calculateRevenueForQuarter(quarterSold);
 
  saveFirstQuarterRevenue(quarterRevenue);
 
  return 0;
 }",,,
CWE-362,"- void f(pthread_mutex_t *mutex) {
+ int f(pthread_mutex_t *mutex) {
+     int result;
+ 
-     pthread_mutex_lock(mutex);
+     result = pthread_mutex_lock(mutex);
+     if (result != 0) {
+         // Handle error, report or recover
+         // ...
+         return result;
+     }
  
      /* access shared resource */
  
-     pthread_mutex_unlock(mutex);
+     result = pthread_mutex_unlock(mutex);
+     if (result != 0) {
+         // Handle error, report or recover
+         // ...
+         return result;
+     }
+ 
+     return 0;
 }",,,,,,
CWE-416,"#include <stdio.h>
#include <unistd.h>
#define BUFSIZER1 512
#define BUFSIZER2 ((BUFSIZER1/2) - 8)

int main(int argc, char **argv) {
-    char *buf1R1;
-    char *buf2R1;
+    char *buf1R1 = NULL;
+    char *buf2R1 = NULL;
    char *buf2R2;
    char *buf3R2;

-    buf1R1 = (char *) malloc(BUFSIZER1);
-    buf2R1 = (char *) malloc(BUFSIZER1);
+    buf1R1 = (char *) malloc(BUFSIZER1);
    free(buf2R1);
    buf2R2 = (char *) malloc(BUFSIZER2);
    buf3R2 = (char *) malloc(BUFSIZER2);

    if (argc > 1) {
        strncpy(buf2R1, argv[1], BUFSIZER1-1);
    }

    free(buf1R1);
    free(buf2R2);
    free(buf3R2);
}","char* ptr = (char*)malloc(SIZE);
int abrt = 0;  // Add a flag to track if the operation is aborted

if (err) {
  abrt = 1;
  free(ptr);
}
// ...
if (abrt) {
-  logError(""operation aborted before commit"", ptr);
+  logError(""operation aborted before commit"");
}
",,,,,
CWE-400,"sock=socket(AF_INET, SOCK_STREAM, 0);
+ int connectionCount = 0; // Track the number of connections made

while (1) {
  newsock=accept(sock, ...);
  printf(""A connection has been accepted\n"");
  
  pid = fork();
+ if (pid == 0) { // Child process
+   // Handle the connection in the child process
+   close(sock); // Close the socket in the child process
+   handleConnection(newsock);
+   close(newsock);
+   exit(0);
+ } else if (pid > 0) { // Parent process
+   close(newsock); // Close the socket in the parent process
+   connectionCount++;
+   // Limit the number of connections
+   if (connectionCount >= MAX_CONNECTIONS) {
+     printf(""Maximum number of connections reached. Exiting.\n"");
+     break;
+   }
+ } else { // Fork failed
+   printf(""Fork failed. Exiting.\n"");
+   break;
+ }
}
","int writeDataFromSocketToFile(char *host, int port)
{
-    char filename[FILENAME_SIZE];
+    char filename[FILENAME_SIZE + 1]; // Increase size to accommodate null terminator
    char buffer[BUFFER_SIZE];
    int socket = openSocketConnection(host, port);

    if (socket < 0) {
        printf(""Unable to open socket connection"");
        return(FAIL);
    }

    if (getNextMessage(socket, filename, FILENAME_SIZE) > 0) {
-        if (openFileToWrite(filename) > 0) {
+        if (validateFilename(filename) > 0 && openFileToWrite(filename) > 0) {
            int bytesRead;
            int totalBytesWritten = 0;
            while ((bytesRead = getNextMessage(socket, buffer, BUFFER_SIZE)) > 0) {
                if (!(writeToFile(buffer, bytesRead) > 0))
                    break;
                totalBytesWritten += bytesRead;

+                // Added check to limit file size
+                if (totalBytesWritten >= MAX_FILE_SIZE) {
+                    printf(""File size limit exceeded. Aborting.\n"");
+                    break;
+                }
            }
            closeFile();
        }
    }
    closeSocket(socket);
}","int processMessage(char **message)
{
-    char *body;
+    char *body = NULL; // Initialize body pointer to NULL

-    int length = getMessageLength(message[0]);
+    unsigned int length = getMessageLength(message[0]); // Change type to unsigned int

-    if (length > 0) {
+    if (length > 0 && length < MAX_LENGTH) { // Add maximum length check
        body = &message[1][0];
        processMessageBody(body);
        return SUCCESS;
    }
    else {
        printf(""Unable to process message; invalid message length"");
        return FAIL;
    }
}",,,,
